year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2009,tt0485601,The Secret of Kells,nowomen-disagree,nowomen,FAIL,8000000,690290,2600916,2009FAIL,8685853,749470,2823897,2,2,0485601,The animated story of the boy behind the famed Book of Kells.,Not Rated,True,English,"France, Belgium, Ireland","Tomm Moore (original story), Fabrice Ziolkowski (screenplay)",81,7.6,"Tomm Moore, Nora Twomey",11 Feb 2009,"Evan McGuire, Christen Mooney, Brendan Gleeson, Mick Lally","Animation, Adventure, Family",Nominated for 1 Oscar. Another 7 wins & 5 nominations.,75 min,movie,http://ia.media-imdb.com/images/M/MV5BMjEzMjEzNTIzOF5BMl5BanBnXkFtZTcwMTg2MjAyMw@@._V1_SX300.jpg,"14,200",NA
2009,tt0821642,The Soloist,notalk,notalk,FAIL,60000000,31720158,38454152,2009FAIL,65143896,34439578,41750888,2,2,0821642,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.",PG-13,True,English,"UK, USA, France","Susannah Grant (screenplay), Steve Lopez (book)",61,6.7,Joe Wright,24 Apr 2009,"Jamie Foxx, Robert Downey Jr., Catherine Keener, Tom Hollander","Biography, Drama, Music",1 win & 3 nominations.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExODQ3MTI5Nl5BMl5BanBnXkFtZTcwMDEyMTQ5MQ@@._V1_SX300.jpg,"37,156",NA
2009,tt1111422,The Taking of Pelham 123,nowomen,nowomen,FAIL,110000000,65452312,152364370,2009FAIL,119430476,71063643,165426811,2,2,1111422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,tt0452694,The Time Traveler&#39;s Wife,dubious,dubious,FAIL,39000000,63414846,98666635,2009FAIL,42343532,68851502,107125483,2,2,0452694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,tt1142988,The Ugly Truth,men,men,FAIL,38000000,88915214,205230042,2009FAIL,41257801,96538057,222824741,2,2,1142988,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ...,R,True,English,USA,"Nicole Eastman (screenplay), Karen McCullah (screenplay), Kirsten Smith (screenplay), Nicole Eastman (story)",28,6.5,Robert Luketic,24 Jul 2009,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter","Comedy, Romance",1 win & 4 nominations.,96 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM2MTM2OTUwNl5BMl5BanBnXkFtZTcwNTgwNTE0Mg@@._V1_SX300.jpg,"117,119",NA
2009,tt1139668,The Unborn,ok,ok,PASS,16000000,42670410,78208812,2009PASS,17371706,46328612,84913778,2,2,1139668,A young woman fights the spirit that is slowly taking possession of her.,PG-13,True,"English, Hebrew",USA,David S. Goyer,30,4.7,David S. Goyer,09 Jan 2009,"Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good","Horror, Mystery, Thriller",1 nomination.,88 min,movie,http://ia.media-imdb.com/images/M/MV5BOTM5NDY1MTk2Nl5BMl5BanBnXkFtZTcwNTMyNjkxMg@@._V1_SX300.jpg,"34,140",NA
2009,tt0962736,The Young Victoria,ok,ok,PASS,35000000,11001272,31878891,2009PASS,38000606,11944429,34611919,2,2,0962736,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",PG,True,"English, German","UK, USA",Julian Fellowes,64,7.3,Jean-Marc Vallée,06 Mar 2009,"Emily Blunt, Rupert Friend, Paul Bettany, Miranda Richardson","Biography, Drama, History",Won 1 Oscar. Another 9 wins & 13 nominations.,105 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM4MjExMDk3NV5BMl5BanBnXkFtZTcwMTU3OTMwMw@@._V1_SX300.jpg,"32,219",NA
2009,tt1055369,Transformers: Revenge of the Fallen,ok-disagree,ok,PASS,210000000,402111870,836519699,2009PASS,228003635,436585563,908235868,2,2,1055369,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",PG-13,True,"English, Spanish",USA,"Ehren Kruger, Roberto Orci, Alex Kurtzman",35,6,Michael Bay,24 Jun 2009,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 6 wins & 19 nominations.,150 min,movie,http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,"238,240",NA
2009,tt1049413,Up,notalk,notalk,FAIL,175000000,293004164,731542621,2009FAIL,190003029,318123879,794258938,2,2,1049413,"By tying thousands of balloons to his home, 78-year-old Carl sets out to fulfill his lifelong dream to see the wilds of South America. Russell, a wilderness explorer 70 years younger, inadvertently becomes a stowaway.",PG,True,English,USA,"Pete Docter (story), Bob Peterson (story), Thomas McCarthy (story), Bob Peterson (screenplay), Pete Docter (screenplay)",88,8.3,"Pete Docter, Bob Peterson",29 May 2009,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","Animation, Adventure, Drama",Won 2 Oscars. Another 53 wins & 37 nominations.,96 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,"425,485",NA
2009,tt1193138,Up in the Air,men-disagree,men,FAIL,30000000,83823381,166842739,2009FAIL,32571948,91009693,181146433,2,2,1193138,"With a job that has him traveling around the country firing people, Ryan Bingham leads an empty life out of a suitcase, until his company does the unexpected: ground him.",R,True,English,USA,"Walter Kirn (novel), Jason Reitman (screenplay), Sheldon Turner (screenplay)",83,7.5,Jason Reitman,23 Dec 2009,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman","Drama, Romance",Nominated for 6 Oscars. Another 64 wins & 66 nominations.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg,"219,085",NA
