year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
1989,tt0098546,UHF,notalk,notalk,FAIL,5000000,6157157,6157157,1989FAIL,9397944,11572924,11572924,NA,NA,0098546,"A local public station gets a new owner. The station becomes a hit, with all sorts of hilarious sight gags and wacky humor.",PG-13,True,English,USA,"'Weird Al' Yankovic, Jay Levey",32,7,Jay Levey,21 Jul 1989,"'Weird Al' Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards",Comedy,N/A,97 min,movie,http://ia.media-imdb.com/images/M/MV5BMTAzMjE2NDg5NjZeQTJeQWpwZ15BbWU3MDAzNzI4NzQ@._V1_SX300.jpg,"18,714",NA
1988,tt0094612,Action Jackson,notalk,notalk,FAIL,7000000,20257000,20257000,1988FAIL,13787529,39899139,39899139,NA,NA,0094612,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.,R,True,English,USA,Robert Reneau,NA,5,Craig R. Baxley,12 Feb 1988,"Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone","Action, Comedy, Crime",1 nomination.,96 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0OTI5NzgwN15BMl5BanBnXkFtZTcwNDM5MTYxMQ@@._V1_SX300.jpg,"6,213",NA
1988,tt0094625,Akira,notalk,notalk,FAIL,8000000,19585,19585,1988FAIL,15757176,38576,38576,NA,NA,0094625,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psionic psychopath that only two kids and a group of psionics can stop.,R,True,Japanese,Japan,"Katsuhiro Ohtomo (screenplay), Izô Hashimoto (screenplay), Katsuhiro Ohtomo (graphic novel)",76,8.1,Katsuhiro Ohtomo,24 Jul 2001,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda","Animation, Action, Adventure",1 win.,124 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA5NzIwMjQ4MV5BMl5BanBnXkFtZTcwMDEwNzQyMQ@@._V1_SX300.jpg,"73,676",NA
1988,tt0094721,Beetle Juice,ok,ok,PASS,15000000,73326666,73326666,1988PASS,29544705,144427648,144427648,NA,NA,0094721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,tt0092675,Bloodsport,notalk,notalk,FAIL,1500000,11806119,11806119,1988FAIL,2954471,23253887,23253887,NA,NA,0092675,"Frank Dux has spent most his life being trained by Tanaka to participate in the Kumite, the ultimate martial arts tournament, where participants are seriously injured, even killed. Frank ...",R,True,English,USA,"Sheldon Lettich (story), Sheldon Lettich (screenplay), Christopher Cosby (screenplay), Mel Friedman (screenplay)",NA,6.7,Newt Arnold,26 Feb 1988,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","Action, Biography, Drama",1 nomination.,92 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0MzQ5Mzk2NV5BMl5BanBnXkFtZTcwOTY1OTEyMQ@@._V1_SX300.jpg,"43,219",NA
1988,tt0094862,Child&#39;s Play,ok,ok,PASS,9000000,33244684,44196684,1988PASS,17726823,65480292,87051866,NA,NA,0094862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,tt0094947,Dangerous Liaisons,ok,ok,PASS,14000000,34700000,34700000,1988PASS,27575058,68346751,68346751,NA,NA,0094947,Rich and bored aristocrats in Rococo France play high-stakes games of passion and betrayal.,R,True,English,"USA, UK","Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)",74,7.7,Stephen Frears,21 Dec 1988,"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz","Drama, Romance",Won 3 Oscars. Another 17 wins & 18 nominations.,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk5Mjk1MjEzOV5BMl5BanBnXkFtZTcwNzYzNDkxMQ@@._V1_SX300.jpg,"44,706",NA
1988,tt0095016,Die Hard,ok-disagree,ok,PASS,28000000,81350242,139109346,1988PASS,55150116,160231261,273996307,NA,NA,0095016,"John McClane, officer of the NYPD, tries to save wife Holly Gennaro and several others, taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.",R,True,"English, German, Italian",USA,"Roderick Thorp (novel), Jeb Stuart (screenplay), Steven E. de Souza (screenplay)",70,8.3,John McTiernan,22 Jul 1988,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","Action, Thriller",Nominated for 4 Oscars. Another 6 wins & 2 nominations.,131 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY4ODM0OTc2M15BMl5BanBnXkFtZTcwNzE0MTk3OA@@._V1_SX300.jpg,"431,784",NA
1988,tt0095631,Midnight Run,men,men,FAIL,30000000,38413606,81613606,1988FAIL,59089410,75661244,160749995,NA,NA,0095631,"An accountant is chased by bounty hunters, the FBI, and the Mafia after jumping bail.",R,True,English,USA,George Gallo,78,7.6,Martin Brest,20 Jul 1988,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton","Action, Comedy, Crime",Nominated for 2 Golden Globes. Another 2 wins.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg0MTg2NTgyM15BMl5BanBnXkFtZTcwMzI3ODMyMQ@@._V1_SX300.jpg,"44,378",NA
1988,tt0095687,My Stepmother Is an Alien,ok,ok,PASS,16000000,13854000,13854000,1988PASS,31514352,27287490,27287490,NA,NA,0095687,"An alien is sent on a secret mission to Earth, where she appears as a gorgeous, attractive, and single lady. Her mission is to make contact with a rather nerdy young scientist, who's quite ...",PG-13,True,English,USA,"Jerico, Herschel Weingrod, Timothy Harris, Jonathan Reynolds",NA,5.1,Richard Benjamin,09 Dec 1988,"Dan Aykroyd, Kim Basinger, Jon Lovitz, Alyson Hannigan","Comedy, Sci-Fi",4 nominations.,105 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM5OTI0MzM5Nl5BMl5BanBnXkFtZTcwOTcwMjcyMQ@@._V1_SX300.jpg,"18,140",NA
