year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2000,tt0202677,The Way of the Gun,men,men,FAIL,9000000,6047856,13061935,2000FAIL,12176175,8182195,17671601,3,2,0202677,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,R,True,"English, Spanish",USA,Christopher McQuarrie,49,6.7,Christopher McQuarrie,08 Sep 2000,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs","Action, Crime, Drama",N/A,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0MjAwNTExNV5BMl5BanBnXkFtZTcwNzI4NjEyMQ@@._V1_SX300.jpg,"24,675",NA
2000,tt0190138,The Whole Nine Yards,ok,ok,PASS,24000000,57262492,85527867,2000PASS,32469801,77470905,115711368,3,2,0190138,"Nick is a struggling dentist in Canada. A new neighbor moves in, and he discovers that it is Jimmy ""The Tulip"" Teduski. His wife convinces him to go to Chicago and inform the mob boss who wants Jimmy dead.",R,True,"English, French, Spanish",USA,Mitchell Kapner,47,6.7,Jonathan Lynn,18 Feb 2000,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan","Comedy, Crime",4 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,"76,803",NA
2000,tt0146309,Thirteen days,notalk,notalk,FAIL,80000000,34566746,66554547,2000FAIL,108232671,46765640,90042204,3,2,0146309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,tt0120913,Titan A.E.,ok,ok,PASS,75000000,22751979,36751979,2000PASS,101468129,30781343,49722060,3,2,0120913,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,PG,True,"English, Mandarin",USA,"Hans Bauer (story), Randall McCormick (story), Ben Edlund (screenplay), John August (screenplay), Joss Whedon (screenplay)",48,6.6,"Don Bluth, Gary Goldman, Art Vitello",16 Jun 2000,"Matt Damon, Bill Pullman, John Leguizamo, Nathan Lane","Animation, Action, Adventure",1 win & 6 nominations.,94 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE0NTU0ODg4NV5BMl5BanBnXkFtZTcwNzY3MTQyMQ@@._V1_SX300.jpg,"45,478",NA
2000,tt0217869,Unbreakable,nowomen-disagree,nowomen,FAIL,73243106,94999143,248099143,2000FAIL,99091212,128525137,335655410,3,2,0217869,A suspense thriller with supernatural overtones that revolves around a man who learns something extraordinary about himself after a devastating accident.,PG-13,True,English,USA,M. Night Shyamalan,62,7.2,M. Night Shyamalan,22 Nov 2000,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark","Drama, Mystery, Sci-Fi",2 wins & 10 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1_SX300.jpg,"200,528",NA
2000,tt0182508,Urbania,notalk,notalk,FAIL,225000,1032075,1032075,2000FAIL,304404,1396303,1396303,3,2,0182508,"Charlie takes an odyssey through grief during a fall weekend in New York City. His encounters are planned and chance: with a homeless man who sleeps by his building, with a friend who's ...",R,True,English,USA,"Daniel Reitz (play), Daniel Reitz (screenplay), Jon Shear (screenplay)",73,7,Jon Shear,09 Aug 2001,"Dan Futterman, Sam Ball, Lothaire Bluteau, Alan Cumming",Drama,5 wins & 4 nominations.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMxMTU4Mjc3OV5BMl5BanBnXkFtZTcwMjU1ODQyMQ@@._V1_SX300.jpg,"2,619",NA
2000,tt0190865,Vertical Limit,notalk,notalk,FAIL,75000000,68473360,213500000,2000FAIL,101468129,92638183,288845939,3,2,0190865,"A climber must rescue his sister on top of K2, one of the world's biggest mountains.",PG-13,True,"English, Urdu","USA, Germany","Robert King (story), Robert King (screenplay), Terry Hayes (screenplay)",48,5.8,Martin Campbell,08 Dec 2000,"Chris O'Donnell, Robin Tunney, Stuart Wilson, Augie Davis","Action, Adventure, Thriller",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,124 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIzODIxNjY4NF5BMl5BanBnXkFtZTYwMjE2NDg2._V1_SX300.jpg,"41,709",NA
2000,tt0161081,What Lies Beneath,ok,ok,PASS,90000000,155464351,288693989,2000PASS,121761754,210329023,390576517,3,2,0161081,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she's losing her mind.,PG-13,True,English,USA,"Clark Gregg (screenplay), Sarah Kernochan (story), Clark Gregg (story)",51,6.6,Robert Zemeckis,21 Jul 2000,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar","Drama, Horror, Mystery",4 wins & 5 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMTI5NjkwNDMwN15BMl5BanBnXkFtZTYwMzY2Nzg4._V1_SX300.jpg,"83,265",NA
2000,tt0207201,What Women Want,notalk-disagree,notalk,FAIL,65000000,182805123,372100000,2000FAIL,87939045,247318583,503417209,3,2,0207201,"After an accident, a chauvenistic executive gains the ability to hear what women are really thinking.",PG-13,True,"English, French",USA,"Josh Goldsmith (story), Cathy Yuspa (story), Diane Drake (story), Josh Goldsmith (screenplay), Cathy Yuspa (screenplay)",47,6.4,Nancy Meyers,15 Dec 2000,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda","Comedy, Fantasy, Romance",Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,127 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA2MzM0MTUwMF5BMl5BanBnXkFtZTgwMTgzOTgzMTE@._V1_SX300.jpg,"126,978",NA
2000,tt0198021,Where the Heart Is,ok,ok,PASS,15000000,33771174,40862054,2000PASS,20293626,45689304,55282615,3,2,0198021,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma.",PG-13,True,English,USA,"Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Billie Letts (novel)",30,6.8,Matt Williams,28 Apr 2000,"Natalie Portman, Ashley Judd, Stockard Channing, Joan Cusack","Comedy, Drama, Romance",1 win & 2 nominations.,120 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg4NTIzNjIwNl5BMl5BanBnXkFtZTcwODY2MTU1MQ@@._V1_SX300.jpg,"23,244",NA
