year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2010,tt0892318,Letters to Juliet,dubious-disagree,dubious,FAIL,30000000,53032453,79135982,2010FAIL,32046955,56650955,84535576,1,1,0892318,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",PG,True,"English, Italian, Spanish",USA,"Jose Rivera, Tim Sullivan",50,6.5,Gary Winick,14 May 2010,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti","Comedy, Drama, Romance",4 nominations.,105 min,movie,http://ia.media-imdb.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,"49,836",NA
2010,tt0758752,Love and Other Drugs,men-disagree,men,FAIL,30000000,32367005,102719647,2010FAIL,32046955,34575465,109728398,1,1,0758752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,tt0985694,Machete,ok,ok,PASS,12500000,26593646,44331957,2010PASS,13352898,28408179,47356808,1,1,0985694,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",R,True,"English, Spanish, Hungarian",USA,"Robert Rodriguez, Álvaro Rodríguez",60,6.7,"Ethan Maniquis, Robert Rodriguez",03 Sep 2010,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","Action, Crime, Thriller",2 wins & 2 nominations.,105 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUwNzIwMDY0OF5BMl5BanBnXkFtZTcwMzM3Njg2Mw@@._V1_SX300.jpg,"137,848",NA
2010,tt1371155,Made In Dagenham,ok,ok,PASS,8000000,1095369,15644196,2010PASS,8545855,1170108,16711628,1,1,1371155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,tt1518812,Meek&#39;s Cutoff,men,men,FAIL,2000000,977772,1869928,2010FAIL,2136464,1044487,1997517,1,1,1518812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,tt1001526,Megamind,nowomen-disagree,nowomen,FAIL,130000000,148415853,321887208,2010FAIL,138870139,158542540,343850165,1,1,1001526,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",PG,True,English,USA,"Alan J. Schoolcraft, Brent Simons",63,7.3,Tom McGrath,05 Nov 2010,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill","Animation, Action, Comedy",1 win & 11 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,"121,511",NA
2010,tt1470827,Monsters,nowomen-disagree,nowomen,FAIL,500000,237301,5639730,2010FAIL,534116,253492,6024539,1,1,1470827,Six years after Earth has suffered an alien invasion a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the US border.,R,True,"English, Spanish",UK,Gareth Edwards,63,6.4,Gareth Edwards,03 Dec 2010,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides, Annalee Jefferies","Drama, Sci-Fi, Thriller",Nominated for 1 BAFTA Film Award. Another 9 wins & 9 nominations.,94 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE4MzMyNjExMl5BMl5BanBnXkFtZTcwMzI5NjM3Mw@@._V1_SX300.jpg,"58,491",NA
2010,tt1126618,Morning Glory,ok,ok,PASS,40000000,31011732,60040974,2010PASS,42729274,33127720,64137680,1,1,1126618,An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.,PG-13,True,"English, Ukrainian",USA,Aline Brosh McKenna,57,6.5,Roger Michell,10 Nov 2010,"Rachel McAdams, Noah Bean, Harrison Ford, Jack Davidson","Comedy, Drama, Romance",2 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMTYxNDM1NTQ4N15BMl5BanBnXkFtZTcwOTQ0Njg5Mw@@._V1_SX300.jpg,"46,999",NA
2010,tt1415283,Nanny McPhee and the Big Bang,ok,ok,PASS,35000000,29197642,97799865,2010PASS,37388114,31189851,104472930,1,1,1415283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,tt1334260,Never Let Me Go,ok,ok,PASS,15000000,2434652,11509512,2010PASS,16023478,2600773,12294827,1,1,1334260,"A love triangle develops between three friends who came of age at a mysterious, secluded boarding school and are destined to lead brief lives.",R,True,English,"UK, USA","Kazuo Ishiguro (novel), Alex Garland (screenplay)",69,7.2,Mark Romanek,11 Feb 2011,"Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe","Drama, Romance, Sci-Fi",6 wins & 22 nominations.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg,"81,692",NA
