year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2002,tt0264464,Catch Me If You Can,notalk-disagree,notalk,FAIL,52000000,164606800,351106800,2002FAIL,67349319,213195306,454746230,3,2,0264464,"A true story about Frank Abagnale Jr., who, before his 19th birthday, successfully conned millions of dollars' worth of checks as a Pan Am pilot, doctor, and legal prosecutor.",PG-13,True,"English, French","USA, Canada","Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)",76,8,Steven Spielberg,25 Dec 2002,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","Biography, Crime, Drama",Nominated for 2 Oscars. Another 11 wins & 20 nominations.,141 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,"340,530",NA
2002,tt0299658,Chicago,ok,ok,PASS,30000000,170687518,307687518,2002PASS,38855376,221070926,398510478,3,2,0299658,Murderesses Velma Kelly (a chanteuse and tease who killed her husband and sister after finding them in bed together) and Roxie Hart (who killed her boyfriend when she discovered he wasn't going to make her a star) find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,PG-13,True,"English, Hungarian","USA, Germany, Canada","Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)",82,7.2,Rob Marshall,24 Jan 2003,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger","Comedy, Crime, Musical",Won 6 Oscars. Another 42 wins & 57 nominations.,113 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIyMTg1MzMzNl5BMl5BanBnXkFtZTYwMDU0NTk5._V1_SX300.jpg,"138,736",NA
2002,tt0275022,Crossroads,ok,ok,PASS,12000000,37188667,57000000,2002PASS,15542151,48165989,73825215,3,2,0275022,"Three childhood best friends, and a guy they just met, take a trip across the country, finding themselves and their friendship in the process.",PG-13,True,English,USA,Shonda Rhimes,27,3.2,Tamra Davis,15 Feb 2002,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning","Adventure, Comedy, Drama",2 wins & 11 nominations.,93 min,movie,http://ia.media-imdb.com/images/M/MV5BMTI4OTkzNjQ0M15BMl5BanBnXkFtZTcwODM5MjcyMQ@@._V1_SX300.jpg,"30,198",NA
2002,tt0266452,Death to Smoochy,men,men,FAIL,50000000,8355815,8374062,2002FAIL,64758961,10822278,10845911,3,2,0266452,"Kids show host Rainbow Randolph is fired in disgrace while his replacement, Sheldon Mopes, aka Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the kid's TV business isn't all child's play.",R,True,English,"USA, UK, Germany",Adam Resnick,38,6.4,Danny DeVito,29 Mar 2002,"Robin Williams, Edward Norton, Catherine Keener, Danny DeVito","Comedy, Crime, Drama",1 nomination.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMxOTAyMTczMV5BMl5BanBnXkFtZTcwOTg5MzkxMQ@@._V1_SX300.jpg,"30,506",NA
2002,tt0246460,Die Another Day,men-disagree,men,FAIL,142000000,160942139,431942139,2002FAIL,183915449,208448913,559442481,3,2,0246460,James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul who is funding the development of an international space weapon.,PG-13,True,"English, Korean, Cantonese, Spanish, German, Icelandic, Italian","UK, USA","Ian Fleming (characters), Neal Purvis, Robert Wade",56,6.1,Lee Tamahori,22 Nov 2002,"Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike","Action, Adventure, Crime",Nominated for 1 Golden Globe. Another 5 wins & 28 nominations.,133 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM2NzY2NjMwMF5BMl5BanBnXkFtZTYwOTUyMDg5._V1_SX300.jpg,"132,480",NA
2002,tt0303933,Drumline,notalk,notalk,FAIL,20000000,56398162,56398162,2002FAIL,25903584,73045727,73045727,3,2,0303933,A band director recruits a Harlem street drummer to play at a Southern university.,PG-13,True,English,USA,"Shawn Schepps (story), Tina Gordon Chism (screenplay), Shawn Schepps (screenplay)",63,5.5,Charles Stone III,13 Dec 2002,"Nick Cannon, Zoe Saldana, Orlando Jones, Leonard Roberts","Comedy, Drama, Romance",12 nominations.,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1MTQ4OTg3OF5BMl5BanBnXkFtZTYwODEyMzg5._V1_SX300.jpg,"25,457",NA
2002,tt0238380,Equilibrium,notalk,notalk,FAIL,20000000,1190018,5345869,2002FAIL,25903584,1541287,6923858,3,2,0238380,"In a Fascist future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system.",R,True,English,USA,Kurt Wimmer,33,7.6,Kurt Wimmer,26 Feb 2003,"Christian Bale, Dominic Purcell, Sean Bean, Christian Kahrmann","Action, Drama, Sci-Fi",2 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMTkzMzA1OTI3N15BMl5BanBnXkFtZTYwMzUyMDg5._V1_SX300.jpg,"209,008",NA
2002,tt0297884,Far from Heaven,ok,ok,PASS,13500000,15901849,29027914,2002PASS,17484919,20595744,37596351,3,2,0297884,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.",PG-13,True,English,"USA, France",Todd Haynes,84,7.4,Todd Haynes,12 Mar 2003,"Julianne Moore, Dennis Quaid, Dennis Haysbert, Patricia Clarkson",Drama,Nominated for 4 Oscars. Another 91 wins & 39 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMTE5ODI3MTM4OV5BMl5BanBnXkFtZTYwNjE5OTg2._V1_SX300.jpg,"31,234",NA
2002,tt0120679,Frida,men-disagree,men,FAIL,12000000,25885000,55710675,2002FAIL,15542151,33525714,72155308,3,2,0120679,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",R,True,"English, French, Russian","USA, Canada, Mexico","Hayden Herrera (book), Clancy Sigal (screenplay), Diane Lake (screenplay), Gregory Nava (screenplay), Anna Thomas (screenplay)",61,7.4,Julie Taymor,20 Nov 2002,"Salma Hayek, Alfred Molina, Antonio Banderas, Valeria Golino","Biography, Drama, Romance",Won 2 Oscars. Another 15 wins & 29 nominations.,123 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMyODUyMDY1OV5BMl5BanBnXkFtZTYwMDA2OTU3._V1_SX300.jpg,"49,417",NA
2002,tt0327753,Funny Ha Ha,ok,ok,PASS,30000,77070,77070,2002PASS,38855,99819,99819,3,2,0327753,"Marnie just graduated from college, drinks likes she's still in school, and is looking for a temporary job but a permanent boyfriend. She loves a guy who doesn't love her (?), ping-pongs ...",N/A,True,English,USA,Andrew Bujalski,78,6.4,Andrew Bujalski,19 Apr 2007,"Kate Dollenmayer, Mark Herlehy, Christian Rudder, Jennifer L. Schaper","Comedy, Drama",3 wins & 1 nomination.,89 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1OTU5MjI1NF5BMl5BanBnXkFtZTcwNjkwMzgyMQ@@._V1_SX300.jpg,"1,595",NA
