year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2007,tt0884328,The Mist,ok,ok,PASS,13000000,25593755,54777490,2007PASS,14606065,28755697,61544892,2,2,0884328,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",R,True,English,USA,"Frank Darabont (screenplay), Stephen King (novel)",58,7.2,Frank Darabont,21 Nov 2007,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher","Horror, Sci-Fi, Thriller",2 wins & 5 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_SX300.jpg,"170,026",NA
2007,tt0481369,The Number 23,notalk,notalk,FAIL,32000000,35193167,77593167,2007FAIL,35953391,39541053,87179297,2,2,0481369,"Walter Sparrow becomes obsessed with a novel that he believes was written about him. As his obsession increases, more and more similarities seem to arise.",R,True,"English, Chinese","USA, Germany",Fernley Phillips,NA,6.4,Joel Schumacher,23 Feb 2007,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston","Mystery, Thriller",5 nominations.,101 min,movie,http://ia.media-imdb.com/images/M/MV5BMjcwNzczNDQ0MV5BMl5BanBnXkFtZTcwMTE0NzA0MQ@@._V1_SX300.jpg,"134,897",NA
2007,tt0775529,The Savages,ok,ok,PASS,9000000,6623082,10642023,2007PASS,10111891,7441321,11956776,2,2,0775529,A sister and brother face the realities of familial responsibility as they begin to care for their ailing father.,R,True,"English, German, Cantonese",USA,Tamara Jenkins,85,7.2,Tamara Jenkins,17 Jan 2008,"Laura Linney, Philip Seymour Hoffman, Philip Bosco, Peter Friedman","Comedy, Drama",Nominated for 2 Oscars. Another 15 wins & 14 nominations.,113 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU5NjMyMjk0OF5BMl5BanBnXkFtZTYwNzM4MDM4._V1_SX300.jpg,"28,208",NA
2007,tt0780607,The Signal,men,men,FAIL,50000,251150,406299,2007FAIL,56177,282178,456495,2,2,0780607,"A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television.",R,True,English,USA,"David Bruckner (screenplay), Jacob Gentry (screenplay), Dan Bush (screenplay)",63,6.1,"David Bruckner, Dan Bush, Jacob Gentry",04 Jul 2008,"Anessa Ramsey, Sahr Ngaujah, AJ Bowen, Matthew Stanton","Horror, Sci-Fi, Thriller",4 nominations.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BODIxMzcwNTgyMF5BMl5BanBnXkFtZTcwMjk5Mzk1MQ@@._V1_SX300.jpg,"15,809",NA
2007,tt0462538,The Simpsons Movie,ok,ok,PASS,72500000,183135014,527071022,2007PASS,81456903,205760152,592187212,2,2,0462538,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpson family are declared fugitives.",PG-13,True,English,USA,"James L. Brooks (screenplay), Matt Groening (screenplay), Al Jean (screenplay), Ian Maxtone-Graham (screenplay), George Meyer (screenplay), David Mirkin (screenplay), Mike Reiss (screenplay), Mike Scully (screenplay), Matt Selman (screenplay), John Swartzwelder (screenplay), Jon Vitti (screenplay), Joel H. Cohen (consultant writer), John Frink (consultant writer), Tim Long (consultant writer), Michael Price (consultant writer)",80,7.4,David Silverman,27 Jul 2007,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith","Animation, Adventure, Comedy",Nominated for 1 Golden Globe. Another 5 wins & 20 nominations.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@._V1_SX300.jpg,"205,074",NA
2007,tt0857191,The Visitor,dubious,dubious,FAIL,4000000,9427026,19174817,2007FAIL,4494174,10591674,21543741,2,2,0857191,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,PG-13,True,"English, French, Arabic, Romanian",USA,Thomas McCarthy,79,7.7,Thomas McCarthy,04 Jul 2008,"Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass","Crime, Drama, Music",Nominated for 1 Oscar. Another 18 wins & 19 nominations.,104 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIzNTg3NzkzNV5BMl5BanBnXkFtZTcwNzMwMjU2MQ@@._V1_SX300.jpg,"32,529",NA
2007,tt0469494,There Will Be Blood,nowomen-disagree,nowomen,FAIL,25000000,40222514,77208711,2007FAIL,28088587,45191743,86747344,2,2,0469494,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R,True,"English, American Sign Language",USA,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)",92,8.1,Paul Thomas Anderson,25 Jan 2008,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer",Drama,Won 2 Oscars. Another 74 wins & 58 nominations.,158 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA0NjE1ODEyNV5BMl5BanBnXkFtZTcwNDIzMzE5NQ@@._V1_SX300.jpg,"272,680",NA
2007,tt0453556,TMNT,notalk-disagree,notalk,FAIL,35000000,54149098,96096018,2007FAIL,39324022,60838866,107968055,2,2,0453556,"The continued adventures of the four adolescent mutated turtles gifted in the art of the ninja, as they attempt to stop a mysterious evil that threatens to end the world.",PG,True,English,"Hong Kong, USA","Kevin Munroe, Peter Laird (characters), Kevin Eastman (characters)",41,6.4,Kevin Munroe,23 Mar 2007,"Chris Evans, Sarah Michelle Gellar, Mako, Kevin Smith","Animation, Action, Adventure",1 nomination.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1MzcwNTE5OV5BMl5BanBnXkFtZTcwMTIxNzQ0MQ@@._V1_SX300.jpg,"44,957",NA
2007,tt0418279,Transformers,notalk-disagree,notalk,FAIL,151000000,319246193,708272592,2007FAIL,169655066,358686980,795775055,2,2,0418279,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",PG-13,True,"English, Spanish",USA,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), John Rogers (story), Roberto Orci (story), Alex Kurtzman (story)",61,7.2,Michael Bay,03 Jul 2007,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","Action, Adventure, Sci-Fi",Nominated for 3 Oscars. Another 12 wins & 30 nominations.,144 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQwNjU5MzUzNl5BMl5BanBnXkFtZTYwMzc1MTI3._V1_SX300.jpg,"394,261",NA
2007,tt0861739,Tropa de Elite,ok-disagree,ok,PASS,6537890,8744,14319195,2007PASS,7345604,9824,16088238,2,2,0861739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
